I am still in love with you,0
I miss you so much,0
I miss you,0
I miss you a lot,0
I miss you everyday,0
I want to see you soon,0
I love you a lot,0
I love you so much,0
I love you,0
I am in love you,0
I want you,0
I need you,0
I want to have sex with you,0
I was happy with you,0
I was excited with you,0
I can't stand a day without you,0
I need to see you,0
I want to meet you,0
I want you back,0
Wanna shag,0
I hate your boyfriend,0
I hate your girlfriend,0
I miss our time together,0
Remember the good times?,0
I want to see you now,0
I hate you and never want to see you again,0
I fucking hate you and never want to see your face again,0
I feel like my life is not worth living without you,0
I am so scared and alone without you,0
It was never going to work out between us in the first place,0
I never truly loved you,0
You digust me to my very core after what you did,0
I promise I will change please take me back,0
You forgot your shirt at my place,1
I just wanted to know how you are doing,1
I just took my dog for a walk,1
I just walked to the park,1
I drove the kids to the school,1
I went to the swimming pool yesterday,1
I ran into your friend Jessica at the gym yesterday,1
Your brother phoned me at work last week,1
You forgot to send me the money for the last rent,1
I ate breakfast today,1
The book is blue,1
How did you do in the exam,1
I saw your friend in the gym yesterday,1
I got a new dog,1
Do you want your shirt back,1
I hope you are doing okay,1
Today was a cold day,1
I feel neutral,1